"League","Away Team","S","EX","EN","F","I","R","Score","Results","Home Team","S","EX","EN","F","I","R","Score","Results"
"MLB","Twins","36.0","48.0","60.0","46.0","52.0","33.0","7.0","W","White Sox","39.0","23.0","54.0","39.0","53.0","38.0","6.0","L"
"MLB","Dodgers","39.0","31.0","50.0","41.0","53.0","38.0","7.0","L","Rockies","39.0","22.0","60.0","39.0","52.0","43.0","10.0","W"
"MLB","Pirates","42.0","58.0","54.0","42.0","54.0","43.0","1.0","L","Diamondbacks","46.0","31.0","60.0","45.0","54.0","53.0","2.0","W"
"MLB","Tigers","34.0","34.0","46.0","34.0","52.0","31.0","7.0","W","Angels","34.0","40.0","53.0","33.0","52.0","31.0","1.0","L"
"MLB","Astros","31.0","30.0","39.0","33.0","47.0","24.0","5.0","W","Yankees","34.0","30.0","48.0","39.0","50.0","30.0","1.0","L"
"NHL","Avalanche","33.0","24.0","48.0","36.0","52.0","29.0","5.0","W","Flyers","33.0","28.0","52.0","39.0","53.0","31.0","4.0","L"
"NHL","Blackhawks","33.0","26.0","50.0","35.0","53.0","29.0","2.0","W","Wild","40.0","31.0","55.0","43.0","53.0","37.0","0.0","L"
"NHL","Sabres","37.0","44.0","54.0","39.0","54.0","35.0","1.0","L","Stars","37.0","33.0","48.0","36.0","54.0","37.0","5.0","W"
"NHL","Hurricanes","35.0","34.0","54.0","36.0","54.0","37.0","1.0","L","Coyotes","33.0","26.0","48.0","34.0","53.0","31.0","2.0","W"
"NHL","Penguins","37.0","37.0","59.0","47.0","55.0","40.0","2.0","L","Canucks","37.0","22.0","54.0","40.0","54.0","41.0","4.0","W"
"NHL","Capitals","35.0","23.0","51.0","39.0","51.0","31.0","3.0","W","Bruins","36.0","25.0","53.0","36.0","52.0","37.0","2.0","L"
"NHL","Canadiens","44.0","26.0","56.0","42.0","52.0","40.0","5.0","W","Jets","38.0","25.0","57.0","41.0","53.0","38.0","4.0","L"
"NHL","Blue Jackets","34.0","25.0","55.0","40.0","52.0","34.0","4.0","L","Lightning","32.0","23.0","57.0","40.0","52.0","31.0","5.0","W"
"NHL","Rangers","32.0","21.0","52.0","31.0","52.0","30.0","5.0","W","Panthers","35.0","24.0","51.0","40.0","53.0","36.0","4.0","L"
"NHL","Maple Leafs","32.0","30.0","58.0","33.0","52.0","28.0","4.0","L","Blues","35.0","28.0","62.0","40.0","53.0","36.0","6.0","W"
"MLB","Athletics","39.0","27.0","55.0","44.0","51.0","34.0","5.0","L","Yankees","43.0","27.0","60.0","45.0","52.0","39.0","9.0","W"
