"League","Away Team","S","EX","EN","F","I","R","Score","Results","Home Team","S","EX","EN","F","I","R","Score","Results"
"NHL","Jets","37.0","21.0","52.0","31.0","51.0","34.0","2.0","L","Islanders","43.0","23.0","61.0","45.0","53.0","42.0","5.0","W"
"NHL","Canadiens","39.0","23.0","48.0","34.0","53.0","39.0","1.0","L","Oilers","38.0","25.0","54.0","41.0","53.0","37.0","4.0","W"
"NHL","Wild","35.0","25.0","43.0","31.0","52.0","35.0","0.0","L","Lightning","34.0","27.0","51.0","37.0","53.0","36.0","3.0","W"
"NHL","Senators","33.0","24.0","51.0","33.0","52.0","33.0","0.0","L","Panthers","35.0","27.0","53.0","35.0","53.0","34.0","1.0","W"
"NHL","Blackhawks","36.0","25.0","46.0","36.0","51.0","31.0","1.0","L","Devils","36.0","25.0","40.0","33.0","52.0","34.0","4.0","W"
"NHL","Maple Leafs","35.0","26.0","47.0","40.0","53.0","35.0","3.0","W","Rangers","35.0","26.0","49.0","38.0","53.0","39.0","2.0","L"
"NHL","Ducks","28.0","26.0","42.0","33.0","51.0","25.0","4.0","W","Penguins","32.0","26.0","46.0","32.0","52.0","33.0","0.0","L"
"NHL","Sabres","37.0","26.0","59.0","38.0","53.0","37.0","2.0","L","Hurricanes","35.0","28.0","51.0","40.0","54.0","39.0","4.0","W"
"NHL","Flyers","33.0","30.0","44.0","37.0","53.0","38.0","1.0","L","Blue Jackets","37.0","28.0","52.0","44.0","54.0","45.0","2.0","W"
"NHL","Lightning","30.0","23.0","44.0","32.0","51.0","26.0","3.0","L","Maple Leafs","29.0","24.0","48.0","34.0","51.0","27.0","4.0","W"
"NHL","Panthers","31.0","30.0","39.0","34.0","52.0","28.0","7.0","W","Oilers","35.0","27.0","48.0","44.0","53.0","31.0","5.0","L"
"NHL","Blackhawks","47.0","31.0","47.0","50.0","54.0","52.0","1.0","L","Coyotes","48.0","26.0","36.0","49.0","54.0","48.0","6.0","W"
"NBA","Knicks","47.0","43.0","47.0","46.0","55.0","51.0","92.0","L","76ers","48.0","39.0","55.0","49.0","56.0","57.0","108.0","W"
"NBA","Pelicans","52.0","31.0","49.0","46.0","56.0","61.0","118.0","W","Pistons","49.0","29.0","48.0","45.0","56.0","57.0","103.0","L"
"NBA","Clippers","36.0","38.0","41.0","35.0","51.0","29.0","114.0","W","Nets","30.0","18.0","50.0","34.0","51.0","27.0","101.0","L"
"NBA","Magic","29.0","23.0","43.0","29.0","51.0","25.0","101.0","L","Bulls","36.0","24.0","43.0","34.0","52.0","33.0","105.0","W"
"NBA","Spurs","32.0","23.0","48.0","34.0","52.0","32.0","99.0","L","Jazz","32.0","26.0","51.0","33.0","52.0","37.0","101.0","W"
"NBA","Suns","30.0","24.0","56.0","36.0","51.0","35.0","83.0","L","Warriors","35.0","25.0","50.0","33.0","53.0","43.0","129.0","W"
"NCAAB","Wolverines","43.0","25.0","52.0","37.0","51.0","40.0","72.0","W","Nittany Lions","35.0","25.0","46.0","38.0","51.0","33.0","63.0","L"
"NCAAB","Tigers","31.0","23.0","39.0","31.0","51.0","29.0","58.0","L","Hokies","29.0","26.0","39.0","30.0","51.0","26.0","65.0","W"
"NCAAB","Tar Heels","27.0","26.0","38.0","29.0","51.0","23.0","78.0","W","Orange","29.0","24.0","36.0","29.0","50.0","28.0","74.0","L"
"NCAAB","Gators","27.0","33.0","36.0","21.0","51.0","21.0","57.0","L","Volunteers","31.0","27.0","39.0","29.0","52.0","30.0","62.0","W"
"NCAAB","Longhorns","28.0","25.0","45.0","26.0","51.0","23.0","48.0","L","Wild Cats","29.0","41.0","36.0","28.0","52.0","26.0","58.0","W"
"NHL","Senators","36.0","21.0","53.0","35.0","51.0","28.0","2.0","L","Blackhawks","32.0","26.0","50.0","33.0","52.0","27.0","3.0","W"
"NHL","Stars","32.0","29.0","47.0","33.0","52.0","30.0","0.0","L","Ducks","36.0","27.0","54.0","42.0","53.0","36.0","2.0","W"
"NHL","Flames","29.0","27.0","55.0","31.0","52.0","31.0","3.0","L","Golden Knights","32.0","27.0","45.0","25.0","53.0","30.0","7.0","W"
"NCAAB","Musketeers","31.0","24.0","49.0","33.0","52.0","29.0","89.0","W","Hoyas","35.0","28.0","39.0","41.0","53.0","38.0","77.0","L"
"NCAAB","Red Raiders","35.0","25.0","31.0","41.0","54.0","35.0","71.0","L","Cowboys","36.0","37.0","35.0","35.0","55.0","43.0","79.0","W"
"NHL","Panthers","32.0","25.0","55.0","37.0","51.0","29.0","0.0","L","Maple Leafs","34.0","29.0","56.0","33.0","53.0","31.0","1.0","W"
"NHL","Blue Jackets","35.0","28.0","52.0","37.0","52.0","34.0","2.0","W","Devils","39.0","27.0","53.0","35.0","53.0","42.0","1.0","L"
"NHL","Canadiens","30.0","27.0","51.0","29.0","52.0","27.0","2.0","L","Flyers","32.0","24.0","47.0","28.0","52.0","29.0","3.0","W"
"NHL","Lightning","29.0","29.0","46.0","25.0","51.0","24.0","4.0","W","Capitals","32.0","30.0","45.0","34.0","52.0","29.0","2.0","L"
"NHL","Predators","32.0","26.0","46.0","32.0","51.0","28.0","3.0","W","Red Wings","30.0","25.0","47.0","33.0","52.0","29.0","2.0","L"
"NHL","Sharks","31.0","26.0","47.0","31.0","51.0","28.0","3.0","W","Blues","35.0","27.0","52.0","42.0","53.0","35.0","2.0","L"
"NHL","Kings","34.0","27.0","53.0","36.0","53.0","35.0","4.0","W","Jets","33.0","31.0","44.0","31.0","53.0","35.0","3.0","L"
"NHL","Bruins","36.0","33.0","52.0","38.0","53.0","37.0","3.0","W","Oilers","36.0","31.0","53.0","39.0","53.0","35.0","2.0","L"
"NHL","Avalanche","38.0","31.0","47.0","37.0","54.0","34.0","5.0","W","Canucks","36.0","37.0","39.0","34.0","55.0","32.0","4.0","L"
"NHL","Capitals","31.0","26.0","55.0","31.0","51.0","27.0","1.0","L","Blue Jackets","34.0","20.0","52.0","35.0","51.0","32.0","5.0","W"
"NHL","Maple Leafs","36.0","22.0","53.0","27.0","51.0","33.0","3.0","L","Lightning","37.0","18.0","43.0","35.0","52.0","36.0","4.0","W"
"NHL","Flyers","39.0","25.0","34.0","36.0","53.0","40.0","1.0","W","Canadiens","50.0","20.0","36.0","50.0","56.0","56.0","0.0","L"
"NHL","Canucks","47.0","22.0","29.0","44.0","55.0","52.0","1.0","L","Avalanche","41.0","21.0","32.0","44.0","55.0","47.0","3.0","W"
"NHL","Golden Knights","40.0","21.0","32.0","42.0","55.0","48.0","2.0","L","Kings","39.0","21.0","36.0","41.0","55.0","49.0","3.0","W"
"NCAAB","Red Raiders","31.0","28.0","50.0","33.0","51.0","29.0","74.0","L","Moutaineers","40.0","22.0","45.0","38.0","53.0","38.0","84.0","W"
"NBA","Bulls","38.0","26.0","44.0","40.0","53.0","37.0","87.0","L","Nets","37.0","24.0","47.0","34.0","52.0","37.0","104.0","W"
"NBA","Lakers","46.0","22.0","53.0","35.0","53.0","45.0","123.0","W","Hawks","45.0","22.0","50.0","47.0","55.0","48.0","104.0","L"
"NBA","Pacers","39.0","20.0","42.0","29.0","54.0","46.0","103.0","L","Mavericks","36.0","27.0","45.0","37.0","54.0","42.0","109.0","W"
"NBA","Rockets","33.0","24.0","45.0","32.0","53.0","34.0","96.0","W","Jazz","34.0","26.0","36.0","28.0","55.0","41.0","85.0","L"
"NFL","Jaguars","33.0","28.0","46.0","35.0","51.0","29.0","20.0","L","Patriots","35.0","21.0","49.0","37.0","52.0","31.0","24.0","W"
"NFL","Vikings","33.0","21.0","47.0","34.0","52.0","29.0","7.0","L","Eagles","37.0","22.0","49.0","39.0","53.0","36.0","38.0","W"
"NBA","Knicks","41.0","22.0","50.0","37.0","53.0","41.0","107.0","L","Lakers","47.0","26.0","60.0","42.0","54.0","51.0","127.0","W"
"NBA","Nets","33.0","24.0","50.0","35.0","53.0","32.0","101.0","W","Pistons","51.0","24.0","60.0","45.0","55.0","54.0","100.0","L"
"NBA","Pacers","44.0","26.0","63.0","52.0","55.0","43.0","94.0","W","Spurs","51.0","24.0","62.0","41.0","56.0","55.0","86.0","L"
"NHL","Flyers","31.0","23.0","47.0","38.0","51.0","28.0","2.0","W","Capitals","32.0","25.0","47.0","32.0","52.0","31.0","1.0","L"
"NHL","Golden Knights","30.0","26.0","46.0","34.0","53.0","26.0","5.0","W","Hurricanes","31.0","25.0","43.0","33.0","53.0","28.0","1.0","L"
"NHL","Canucks","29.0","27.0","48.0","36.0","53.0","25.0","0.0","L","Jets","32.0","27.0","53.0","35.0","53.0","33.0","1.0","W"
"NHL","Sharks","34.0","28.0","46.0","38.0","53.0","32.0","6.0","W","Ducks","37.0","30.0","48.0","40.0","53.0","40.0","2.0","L"
"NHL","Rangers","36.0","33.0","47.0","36.0","53.0","38.0","2.0","L","Kings","32.0","34.0","51.0","38.0","53.0","33.0","4.0","W"
"NHL","Sharks","31.0","23.0","44.0","31.0","52.0","32.0","2.0","L","Maple Leafs","35.0","19.0","50.0","38.0","53.0","37.0","3.0","W"
"NHL","Islanders","29.0","20.0","49.0","30.0","52.0","28.0","4.0","L","Flyers","35.0","19.0","46.0","36.0","53.0","38.0","6.0","W"
"NHL","Hurricanes","31.0","21.0","48.0","35.0","52.0","31.0","4.0","W","Penguins","32.0","22.0","47.0","33.0","53.0","35.0","0.0","L"
"NHL","Lightning","32.0","23.0","44.0","31.0","52.0","33.0","1.0","L","Canadiens","33.0","23.0","46.0","32.0","53.0","37.0","2.0","W"
"NBA","Lakers","38.0","31.0","44.0","38.0","52.0","33.0","102.0","W","Nets","39.0","16.0","48.0","39.0","52.0","37.0","99.0","L"
"NBA","Knicks","38.0","17.0","48.0","41.0","52.0","36.0","90.0","L","Bucks","49.0","21.0","55.0","47.0","54.0","51.0","92.0","W"
"NBA","Jazz","43.0","22.0","56.0","47.0","54.0","41.0","129.0","W","Suns","44.0","23.0","51.0","39.0","53.0","48.0","97.0","L"
"NBA","Pelicans","43.0","23.0","42.0","31.0","53.0","46.0","114.0","W","Thunder","36.0","24.0","48.0","34.0","53.0","40.0","100.0","L"
"NBA","Warriors","33.0","26.0","40.0","31.0","52.0","35.0","119.0","W","Kings","30.0","26.0","38.0","31.0","52.0","27.0","104.0","L"
"NHL","Sharks","32.0","23.0","41.0","34.0","52.0","27.0","3.0","W","Blue Jackets","33.0","27.0","44.0","36.0","53.0","31.0","1.0","L"
"NHL","Capitals","35.0","24.0","48.0","36.0","53.0","34.0","4.0","L","Penguins","37.0","27.0","49.0","36.0","53.0","38.0","7.0","W"
"NHL","Red Wings","37.0","23.0","54.0","41.0","53.0","37.0","4.0","W","Hurricanes","42.0","24.0","47.0","39.0","53.0","42.0","1.0","L"
"NHL","Golden Knights","38.0","26.0","43.0","35.0","53.0","36.0","2.0","L","Wild","39.0","24.0","48.0","41.0","53.0","40.0","5.0","W"
"NBA","Pacers","33.0","25.0","50.0","42.0","52.0","36.0","126.0","L","Hornets","37.0","29.0","62.0","43.0","52.0","39.0","133.0","W"
"NHL","Stars","33.0","24.0","41.0","38.0","52.0","29.0","1.0","L","Blue Jackets","36.0","26.0","43.0","40.0","53.0","33.0","2.0","W"
"NHL","Capitals","36.0","29.0","44.0","39.0","53.0","36.0","3.0","L","Devils","35.0","28.0","45.0","34.0","53.0","33.0","4.0","W"
"NHL","Bruins","36.0","26.0","45.0","37.0","53.0","35.0","5.0","W","Islanders","38.0","28.0","42.0","37.0","53.0","37.0","2.0","L"
"NHL","Maple Leafs","35.0","31.0","46.0","38.0","53.0","33.0","2.0","L","Flyers","35.0","28.0","49.0","40.0","53.0","37.0","3.0","W"
"NHL","Bruins","38.0","28.0","51.0","44.0","53.0","40.0","3.0","L","Rangers","43.0","35.0","55.0","43.0","54.0","50.0","4.0","W"
"NHL","Blues","33.0","34.0","47.0","35.0","51.0","29.0","4.0","W","Senators","34.0","32.0","45.0","33.0","52.0","32.0","1.0","L"
"NHL","Golden Knights","35.0","26.0","46.0","36.0","53.0","33.0","4.0","W","Lightning","35.0","50.0","42.0","30.0","53.0","34.0","1.0","L"
"NHL","Coyotes","34.0","37.0","49.0","39.0","54.0","32.0","2.0","L","Predators","44.0","25.0","61.0","46.0","54.0","50.0","3.0","W"
"NHL","Sharks","41.0","16.0","58.0","41.0","54.0","46.0","3.0","L","Avalanche","43.0","18.0","65.0","44.0","54.0","51.0","5.0","W"
"NHL","Penguins","35.0","15.0","50.0","41.0","53.0","41.0","3.0","W","Kings","37.0","16.0","54.0","42.0","53.0","45.0","1.0","L"
"NHL","Senators","31.0","25.0","47.0","37.0","51.0","28.0","1.0","L","Canadiens","38.0","26.0","47.0","39.0","52.0","34.0","2.0","W"
"NHL","Lightning","38.0","22.0","51.0","43.0","52.0","34.0","2.0","L","Bruins","34.0","22.0","48.0","38.0","52.0","32.0","3.0","W"
"NHL","Ducks","37.0","26.0","56.0","43.0","53.0","33.0","3.0","W","Blues","47.0","24.0","59.0","45.0","54.0","47.0","2.0","L"
"NHL","Jets","41.0","29.0","51.0","41.0","54.0","39.0","2.0","L","Avalanche","48.0","23.0","58.0","49.0","55.0","50.0","3.0","W"
"NBA","Heat","37.0","24.0","52.0","46.0","53.0","37.0","86.0","L","Knicks","32.0","29.0","47.0","30.0","53.0","37.0","115.0","W"
"NHL","Islanders","32.0","23.0","45.0","33.0","53.0","29.0","2.0","W","Senators","39.0","24.0","49.0","37.0","53.0","40.0","1.0","L"
"NHL","Blackhawks","35.0","24.0","51.0","40.0","53.0","35.0","4.0","W","Panthers","38.0","28.0","52.0","40.0","54.0","38.0","1.0","L"
"NHL","Devils","35.0","32.0","57.0","44.0","54.0","35.0","4.0","W","Red Wings","40.0","24.0","58.0","45.0","54.0","42.0","3.0","L"
"NHL","Capitals","34.0","26.0","48.0","40.0","53.0","33.0","4.0","W","Maple Leafs","40.0","27.0","55.0","44.0","54.0","40.0","2.0","L"
"NHL","Sabres","31.0","24.0","45.0","35.0","53.0","28.0","0.0","L","Canadiens","30.0","26.0","49.0","34.0","52.0","27.0","3.0","W"
"NHL","Golden Knights","33.0","46.0","47.0","38.0","50.0","28.0","4.0","W","Coyotes","38.0","24.0","41.0","33.0","54.0","37.0","2.0","L"
"NHL","Wild","36.0","23.0","42.0","31.0","51.0","33.0","3.0","L","Blues","32.0","21.0","42.0","36.0","51.0","29.0","6.0","W"
"NHL","Flames","35.0","25.0","47.0","35.0","51.0","32.0","3.0","W","Avalanche","35.0","23.0","46.0","37.0","52.0","34.0","2.0","L"
"NHL","Jets","37.0","19.0","43.0","37.0","52.0","35.0","0.0","L","Sharks","36.0","22.0","40.0","34.0","53.0","35.0","4.0","W"
"NHL","Ducks","43.0","25.0","36.0","31.0","54.0","38.0","1.0","L","Kings","33.0","23.0","42.0","38.0","51.0","32.0","2.0","W"
"MLB","Nationals","37.0","25.0","46.0","33.0","52.0","36.0","8.0","W","Padres","33.0","26.0","50.0","36.0","52.0","34.0","5.0","L"
"NHL","Capitals","42.0","28.0","60.0","41.0","54.0","41.0","2.0","W","Penguins","37.0","32.0","52.0","40.0","53.0","40.0","1.0","L"
"NHL","Predators","42.0","30.0","58.0","41.0","55.0","41.0","4.0","W","Jets","33.0","36.0","41.0","31.0","51.0","33.0","0.0","L"
"NBA","Celtics","53.0","28.0","59.0","40.0","61.0","60.0","92.0","L","76ers","42.0","33.0","43.0","30.0","53.0","46.0","103.0","W"
"NBA","Raptors","29.0","29.0","35.0","24.0","50.0","26.0","93.0","L","Cavaliers","34.0","35.0","44.0","35.0","52.0","36.0","128.0","W"
"MLB","Giants","39.0","27.0","52.0","37.0","53.0","37.0","0.0","L","Phillies","49.0","32.0","58.0","38.0","57.0","51.0","11.0","W"
"MLB","Mets","31.0","24.0","45.0","35.0","52.0","41.0","7.0","W","Reds","37.0","25.0","48.0","33.0","50.0","45.0","6.0","L"
"MLB","Tigers","36.0","21.0","39.0","24.0","49.0","37.0","6.0","L","Rangers","37.0","28.0","45.0","27.0","51.0","42.0","7.0","W"
"MLB","Twins","34.0","18.0","43.0","30.0","49.0","34.0","6.0","W","Cardinals","36.0","21.0","47.0","31.0","50.0","41.0","0.0","L"
"MLB","Astros","36.0","20.0","45.0","28.0","51.0","40.0","16.0","W","Athletics","29.0","16.0","42.0","33.0","48.0","30.0","2.0","L"
"MLB","Twins","36.0","37.0","52.0","38.0","53.0","34.0","4.0","L","Pirates","39.0","19.0","51.0","37.0","53.0","40.0","5.0","W"
"MLB","Royals","37.0","19.0","56.0","35.0","52.0","37.0","1.0","L","Tigers","39.0","22.0","53.0","41.0","53.0","44.0","6.0","W"
"MLB","Cardinals","50.0","19.0","59.0","40.0","55.0","58.0","8.0","W","Brewers","47.0","20.0","59.0","49.0","56.0","52.0","4.0","L"
"MLB","Red Sox","47.0","17.0","54.0","39.0","52.0","54.0","7.0","W","Marlins","43.0","18.0","53.0","38.0","53.0","54.0","3.0","L"
"MLB","Nationals","36.0","28.0","45.0","32.0","52.0","35.0","8.0","W","Braves","33.0","27.0","49.0","32.0","52.0","36.0","1.0","L"
"MLB","Dodgers","35.0","29.0","45.0","30.0","53.0","39.0","7.0","L","Diamondbacks","35.0","27.0","52.0","33.0","54.0","40.0","8.0","W"
"MLB","Rangers","34.0","29.0","47.0","31.0","54.0","39.0","1.0","L","Athletics","39.0","30.0","52.0","33.0","54.0","47.0","3.0","W"
"MLB","Indians","35.0","27.0","45.0","29.0","52.0","41.0","6.0","W","Angels","38.0","28.0","49.0","31.0","54.0","46.0","0.0","L"
"MLB","Rockies","31.0","24.0","46.0","30.0","52.0","31.0","7.0","W","Padres","34.0","31.0","56.0","35.0","54.0","38.0","4.0","L"
"MLB","Red Sox","40.0","30.0","45.0","34.0","53.0","38.0","4.0","W","Blue Jays","33.0","29.0","40.0","28.0","52.0","31.0","3.0","L"
"MLB","Cubs","26.0","30.0","34.0","23.0","48.0","19.0","1.0","L","Indians","27.0","28.0","34.0","21.0","49.0","23.0","4.0","W"
"MLB","Athletics","29.0","31.0","41.0","26.0","50.0","24.0","2.0","L","Rangers","28.0","24.0","39.0","28.0","47.0","25.0","4.0","W"
"MLB","Brewers","30.0","36.0","39.0","26.0","50.0","28.0","6.0","W","Royals","31.0","29.0","43.0","29.0","51.0","27.0","2.0","L"
"MLB","Mets","32.0","41.0","37.0","22.0","58.0","29.0","1.0","L","Cardinals","33.0","28.0","48.0","36.0","51.0","35.0","9.0","W"
"MLB","Padres","41.0","28.0","54.0","40.0","52.0","41.0","2.0","L","Rockies","39.0","24.0","48.0","37.0","53.0","47.0","5.0","W"
"MLB","Nationals","44.0","30.0","59.0","44.0","54.0","49.0","15.0","W","Giants","41.0","29.0","56.0","42.0","53.0","47.0","2.0","L"
"MLB","Twins","33.0","25.0","53.0","34.0","51.0","34.0","4.0","L","Yankees","36.0","25.0","45.0","26.0","53.0","39.0","7.0","W"
"MLB","Braves","38.0","25.0","52.0","33.0","53.0","40.0","5.0","W","Reds","31.0","24.0","50.0","32.0","51.0","40.0","4.0","L"
"MLB","Diamondbacks","27.0","23.0","41.0","23.0","50.0","27.0","3.0","W","Phillies","25.0","26.0","46.0","33.0","50.0","23.0","5.0","W"
"MLB","Rays","40.0","28.0","52.0","37.0","55.0","40.0","6.0","W","White Sox","38.0","33.0","48.0","32.0","55.0","43.0","5.0","L"
"MLB","Blue Jays","41.0","31.0","50.0","34.0","52.0","46.0","2.0","W","Orioles","40.0","35.0","58.0","45.0","55.0","44.0","1.0","L"
"MLB","Yankees","47.0","39.0","57.0","37.0","58.0","57.0","1.0","L","Red Sox","38.0","40.0","61.0","38.0","55.0","48.0","14.0","W"
"MLB","Angels","32.0","39.0","47.0","30.0","49.0","34.0","11.0","W","Rangers","28.0","31.0","44.0","30.0","46.0","29.0","1.0","L"
"MLB","Astros","22.0","32.0","36.0","22.0","45.0","17.0","1.0","L","Twins","20.0","29.0","37.0","19.0","44.0","16.0","4.0","W"
"MLB","Mariners","40.0","34.0","51.0","36.0","53.0","35.0","8.0","W","Royals","28.0","25.0","36.0","23.0","50.0","27.0","3.0","L"
"MLB","Padres","29.0","24.0","46.0","33.0","51.0","28.0","5.0","W","Rockies","32.0","28.0","47.0","31.0","52.0","33.0","2.0","L"
"MLB","Athletics","35.0","25.0","45.0","28.0","52.0","33.0","0.0","L","Dodgers","40.0","28.0","53.0","39.0","56.0","47.0","4.0","W"
"MLB","Diamondbacks","33.0","28.0","42.0","30.0","51.0","32.0","4.0","L","Giants","36.0","33.0","42.0","32.0","52.0","37.0","5.0","W"
"NHL","Kings","29.0","30.0","39.0","23.0","51.0","29.0","0.0","L","Golden Knights","32.0","30.0","44.0","28.0","51.0","38.0","1.0","W"
"MLB","Nationals","35.0","24.0","49.0","33.0","53.0","35.0","5.0","L","Mets","36.0","28.0","48.0","32.0","53.0","38.0","11.0","W"
"MLB","Indians","33.0","20.0","51.0","32.0","52.0","32.0","1.0","L","Twins","36.0","28.0","51.0","35.0","55.0","38.0","2.0","W"
"MLB","Phillies","32.0","22.0","47.0","25.0","54.0","36.0","3.0","L","Braves","33.0","28.0","53.0","32.0","55.0","36.0","7.0","W"
"MLB","Giants","33.0","26.0","52.0","35.0","53.0","33.0","4.0","W","Diamondbacks","30.0","25.0","45.0","31.0","53.0","29.0","3.0","L"
"MLB","Red Sox","31.0","27.0","49.0","33.0","52.0","30.0","9.0","W","Angels","41.0","38.0","54.0","30.0","56.0","50.0","0.0","L"
"MLB","Dodgers","31.0","30.0","45.0","34.0","51.0","30.0","13.0","W","Padres","35.0","24.0","40.0","34.0","52.0","34.0","4.0","L"
"MLB","Penguins","35.0","29.0","45.0","31.0","52.0","33.0","5.0","W","Flyers","40.0","24.0","46.0","36.0","53.0","38.0","0.0","L"
"MLB","Lightning","36.0","26.0","43.0","34.0","52.0","32.0","3.0","W","Devils","40.0","27.0","60.0","46.0","55.0","44.0","1.0","L"
"MLB","Predators","35.0","27.0","52.0","34.0","53.0","32.0","3.0","W","Avalanche","36.0","31.0","47.0","32.0","54.0","37.0","2.0","L"
"MLB","Ducks","33.0","27.0","35.0","23.0","54.0","32.0","1.0","L","Sharks","36.0","29.0","51.0","32.0","54.0","40.0","2.0","W"
"MLB","Brewers","37.0","29.0","47.0","37.0","53.0","34.0","5.0","L","Mets","37.0","28.0","45.0","36.0","54.0","34.0","6.0","W"
"MLB","Blue Jays","45.0","29.0","57.0","44.0","57.0","45.0","8.0","W","Indians","45.0","27.0","58.0","45.0","57.0","47.0","4.0","L"
"NHL","Flyers","32.0","24.0","43.0","30.0","52.0","28.0","5.0","W","Penguins","33.0","25.0","35.0","21.0","50.0","30.0","1.0","L"
"NHL","Wild","29.0","26.0","31.0","19.0","48.0","27.0","1.0","L","Jets","31.0","25.0","38.0","24.0","49.0","35.0","4.0","W"
"NHL","Kings","26.0","32.0","34.0","20.0","48.0","24.0","1.0","L","Golden Knights","29.0","46.0","38.0","23.0","51.0","27.0","2.0","W"
"MLB","Cardinals","38.0","27.0","44.0","34.0","53.0","36.0","5.0","W","Reds","52.0","31.0","64.0","51.0","58.0","55.0","3.0","L"
"MLB","Rockies","53.0","32.0","62.0","43.0","59.0","58.0","2.0","L","Nationals","39.0","31.0","48.0","32.0","53.0","41.0","1.0","L"
"MLB","Phillies","29.0","23.0","39.0","24.0","48.0","28.0","2.0","W","Rays","36.0","30.0","44.0","26.0","51.0","39.0","1.0","L"
"MLB","Pirates","31.0","28.0","35.0","25.0","50.0","28.0","2.0","L","Marlins","32.0","30.0","39.0","24.0","53.0","37.0","7.0","W"
"MLB","Yankees","28.0","34.0","36.0","22.0","50.0","25.0","8.0","W","Tigers","33.0","32.0","39.0","24.0","57.0","38.0","6.0","L"
"MLB","Athletics","35.0","40.0","45.0","32.0","52.0","35.0","4.0","L","Red Sox","37.0","35.0","50.0","35.0","53.0","40.0","6.0","W"
"MLB","Dodgers","36.0","16.0","43.0","34.0","53.0","38.0","5.0","L","Marlins","36.0","18.0","45.0","34.0","53.0","42.0","6.0","W"
"MLB","Cubs","33.0","29.0","42.0","32.0","52.0","36.0","1.0","L","Braves","38.0","19.0","49.0","41.0","53.0","44.0","4.0","W"
"MLB","Astros","41.0","19.0","55.0","45.0","55.0","43.0","2.0","W","Angels","39.0","22.0","45.0","36.0","54.0","43.0","0.0","L"
"MLB","Indians","46.0","24.0","53.0","34.0","57.0","59.0","6.0","W","Tigers","43.0","25.0","51.0","38.0","57.0","53.0","0.0","L"
"MLB","Rays","40.0","29.0","50.0","37.0","52.0","41.0","5.0","W","Royals","37.0","27.0","53.0","34.0","51.0","43.0","3.0","L"
"MLB","Rangers","27.0","17.0","42.0","22.0","44.0","33.0","5.0","W","Mariners","29.0","20.0","49.0","28.0","47.0","33.0","1.0","L"
"MLB","Brewers","43.0","27.0","63.0","47.0","54.0","47.0","8.0","W","Diamondbacks","30.0","23.0","43.0","25.0","48.0","33.0","2.0","L"
"MLB","Reds","29.0","28.0","46.0","25.0","48.0","29.0","6.0","W","Giants","34.0","30.0","54.0","33.0","49.0","38.0","3.0","L"
"MLB","Cubs","33.0","24.0","46.0","31.0","52.0","33.0","2.0","L","Cardinals","36.0","23.0","45.0","34.0","52.0","36.0","3.0","W"
"MLB","Dodgers","35.0","33.0","51.0","35.0","50.0","30.0","4.0","W","Padres","37.0","45.0","49.0","35.0","51.0","32.0","0.0","L"
"MLB","Astros","39.0","24.0","50.0","39.0","51.0","29.0","8.0","W","Diamondbacks","37.0","28.0","43.0","31.0","53.0","34.0","0.0","L"
"MLB","Orioles","37.0","30.0","50.0","31.0","52.0","35.0","4.0","L","Athletics","39.0","31.0","44.0","33.0","52.0","39.0","6.0","W"
"MLB","Angels","30.0","23.0","43.0","35.0","51.0","24.0","5.0","W","Mariners","36.0","27.0","49.0","36.0","52.0","39.0","0.0","L"
"NHL","Lightning","35.0","24.0","51.0","35.0","53.0","35.0","4.0","W","Bruins","34.0","24.0","47.0","34.0","53.0","36.0","3.0","L"
"NHL","Sharks","34.0","31.0","44.0","34.0","53.0","31.0","3.0","L","Golden Knights","35.0","30.0","45.0","32.0","54.0","35.0","5.0","W"
"NBA","Warriors","35.0","26.0","44.0","30.0","52.0","33.0","100.0","L","Pelicans","34.0","27.0","43.0","31.0","53.0","34.0","119.0","W"
"NBA","Rockets","37.0","31.0","56.0","38.0","53.0","37.0","113.0","W","Jazz","39.0","30.0","46.0","31.0","54.0","41.0","92.0","L"
"MLB","Cardinals","35.0","27.0","46.0","36.0","51.0","31.0","4.0","L","Brewers","42.0","25.0","50.0","38.0","53.0","42.0","5.0","W"
"MLB","Dodgers","34.0","24.0","52.0","39.0","53.0","37.0","1.0","L","Diamondbacks","35.0","29.0","54.0","39.0","54.0","39.0","6.0","W"
"MLB","Rangers","31.0","24.0","48.0","32.0","52.0","31.0","4.0","W","Athletics","32.0","30.0","44.0","30.0","52.0","27.0","1.0","L"
"MLB","Indians","37.0","26.0","49.0","33.0","52.0","37.0","2.0","L","Angels","38.0","19.0","52.0","33.0","53.0","38.0","13.0","W"
"MLB","Rockies","29.0","22.0","46.0","31.0","53.0","43.0","4.0","L","Padres","39.0","30.0","51.0","33.0","53.0","46.0","8.0","W"
"MLB","Royals","37.0","25.0","47.0","39.0","51.0","33.0","1.0","W","Tigers","33.0","26.0","44.0","36.0","52.0","30.0","0.0","L"
"MLB","Mariners","46.0","28.0","55.0","43.0","54.0","45.0","6.0","W","Giants","37.0","29.0","49.0","37.0","53.0","35.0","4.0","L"
"MLB","Phillies","32.0","28.0","42.0","28.0","51.0","32.0","0.0","L","Mets","38.0","30.0","50.0","35.0","52.0","42.0","2.0","W"
"MLB","Nationals","29.0","31.0","40.0","24.0","53.0","24.0","6.0","L","Braves","28.0","32.0","44.0","27.0","52.0","26.0","13.0","W"
